eq_esfera	eq_tipo	eq_nome	eq_enderec	eq_telefon	eq_bairro	eq_cep	eq_cd_esfe	eq_cd_tipo	eq_id	eq_setcens	eq_ar_pond	eq_cd_dist	eq_distr	eq_cd_subp	eq_subpref	eq_regiao5	eq_regiao8	eq_espaco	eq_inaugur	eq_assento	eq_acessib	eq_estacio
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	CAMILA CERQUEIRA CÉSAR	R VALDEMAR SANCHES, 41	3731-5210	BUTANTÃ	05589-05	1	2	125	355030812000019	3550308005180	12	BUTANTA	10	BUTANTA	OESTE	OESTE	BIBLIOTECA	19881106		ATENDE ÀS NORMAS	NÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	CAMILO PEDRO DOS REIS - CEU SÃO  MATEUS	R CURUMATIM, 201 - PQUE BOA ESPERANÇA	67328154	PARQUE BOA ESPERANÞA		1	2	24	355030833000070	3550308005274	33	IGUATEMI	30	SAO MATEUS	LESTE	LESTE 2	CEU	20031108		SEM INFORMAÇÃO	SEM INFORMAÇÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	CAROLINA MARIA DE JESUS	R TEREZINHA DO PRADO OLIVEIRA, 119		PARELHEIROS		1	2	119	355030855000027	3550308005301	55	PARELHEIROS	20	PARELHEIROS	SUL	SUL 2	BIBLIOTECA - EXTENSÃO			SEM INFORMAÇÃO	SEM INFORMAÇÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	CASSIANO RICARDO (TEMÁTICA EM MÚSICA - 10/11/2007)	AV CELSO GARCIA, 4.200	2092-4570/2092-9952	TATUAPÉ	03064-00	1	2	49	355030880000021	3550308005036	80	TATUAPE	25	MOOCA	LESTE	LESTE 1	BIBLIOTECA	19530203	30	NÃO ATENDE ÀS NORMAS	SEM INFORMAÇÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	CECÍLIA MEIRELES	R ARAÇATUBA, 522	3834-0004	V. ROMANA	05058-01	1	2	113	355030848000024	3550308005059	48	LAPA	8	LAPA	OESTE	OESTE	ESPAÇO DE LEITURA			SEM INFORMAÇÃO	SEM INFORMAÇÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	CENTRO CULTURAL DA JUVENTUDE RUTH CARDOSO	AV DEPUTADO EMÍLIO CARLOS, 3641	3984-2466	VILA NOVA CACHOEIRINHA		1	2	96	355030813000078	3550308005124	13	CACHOEIRINHA	4	CASA VERDE-CACHOEIRINHA	NORTE	NORTE 2	BIBLIOTECA DO CENTRO CULTURAL DA JUVENTUDE			ATENDE ÀS NORMAS	SIM
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	CEU ÁGUA AZUL	AV DOS METAL·RGICOS, 1262		CIDADE TIRADENTES	08471-000	1	2	9	355030825000208	3550308005272	25	CIDADE TIRADENTES	31	CIDADE TIRADENTES	LESTE	LESTE 2	CEU			SEM INFORMAÇÃO	SEM INFORMAÇÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	CEU AZUL DA COR DO MAR	AV ERNESTO SOUZA CRUZ, 2171		CIDADE ANTONIO ESTEVÃO DE CARVALHO	08225-380	1	2	27	355030837000065	3550308005199	37	ITAQUERA	27	ITAQUERA	LESTE	LESTE 2	CEU			SEM INFORMAÇÃO	SEM INFORMAÇÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	CEU CAMINHO DO MAR - PROFA. DULCE SALLES CUNHA BRAGA	AV ENGENHEIRO ARMANDO ARRUDA DE ARRUDA PEREIRA, 5241		JABAQUARA	04325-001	1	2	79	355030838000207	3550308005095	38	JABAQUARA	15	JABAQUARA	SUL	SUL 1	CEU			SEM INFORMAÇÃO	SEM INFORMAÇÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	CEU CANTO DO AMANHECER	R PRUDÊNCIO DO AMARAL COM AV CANTOS DO AMANHECER		JARDIM MITSUTANI	05791-230	1	2	144	355030817000183	3550308005236	17	CAMPO LIMPO	17	CAMPO LIMPO	SUL	SUL 2	CEU			SEM INFORMAÇÃO	SEM INFORMAÇÃO
