eq_esfera	eq_tipo	eq_nome	eq_enderec	eq_telefon	eq_bairro	eq_cep	eq_cd_esfe	eq_cd_tipo	eq_id	eq_setcens	eq_ar_pond	eq_cd_dist	eq_distr	eq_cd_subp	eq_subpref	eq_regiao5	eq_regiao8	eq_espaco	eq_inaugur	eq_assento	eq_acessib	eq_estacio
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	LENYRA FRACCAROLI	PC HAROLDO DALTRO, 451	2295-2295	VILA MANCHESTER	03444-09	1	2	40	355030820000011	3550308005078	20	CARRAO	26	ARICANDUVA	LESTE	LESTE 1	BIBLIOTECA	19560907	40		
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	MALBA TAHAN	R BRÁS PIRES MEIRA, 100	5523-4556	VELEIROS	04784-15	1	2	112	355030879000023	3550308005220	79	SOCORRO	19	CAPELA DO SOCORRO	SUL	SUL 2	BIBLIOTECA			ATENDE ÀS NORMAS	SEM INFORMAÇÃO
MUNICIPAL	BIBLIOTECAS ESPECIALIZADAS	MALBA TAHAN	R BRAS PIRES MEIRA, 100	5523-4556	VELEIROS	04784-15	1	6	616	355030879000023	3550308005220	79	SOCORRO	19	CAPELA DO SOCORRO	SUL	SUL 2	BIBLIOTECA	19871209	40	ATENDE ÀS NORMAS	SEM INFORMAÇÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	MARCOS REY	AV ANACÊ, 92	5845-2572	JD. UMARIZAL	05755-09	1	2	134	355030817000135	3550308005234	17	CAMPO LIMPO	17	CAMPO LIMPO	SUL	SUL 2	BIBLIOTECA	19810712		ATENDE ÀS NORMAS	SEM INFORMAÇÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	MARIA BENEDITA CAMARA BORMANN - CEU VILA ATLÔNTICA	R CEL. JOSÉ VENÂNCIO DIAS, 840 - J. NARDINI	3901.8744/	JARDIM NARDINI		1	2	135	355030895000109	3550308005111	95	SAO DOMINGOS	2	PIRITUBA	NORTE	NORTE 2	CEU	20031012		SEM INFORMAÇÃO	SEM INFORMAÇÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	MARIO DE ANDRADE	R DA CONSOLAÇÃO, 94	3241-3459	CONSOLAÇÃO	01302-00	1	2	88	355030866000003	3550308005003	66	REPUBLICA	9	SE	CENTRO	CENTRO		19250225			
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	MARIO DE ANDRADE	RUA BRAÚLIO GOMES, 125/139	3775-1402	CONSOLAÇÃO	01047-020	1	2	89	355030866000003	3550308005003	66	REPUBLICA	9	SE	CENTRO	CENTRO		19250225			
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	MARIO PALMÉRIO - CEU SÃO  RAFAEL	R CINIRA POLÔNIO, 100 - J. RIO CLARO	6752.1052/	JARDIM RIO CLARO		1	2	26	355030875000154	3550308005277	75	SAO RAFAEL	30	SAO MATEUS	LESTE	LESTE 2	CEU	20040328		SEM INFORMAÇÃO	SEM INFORMAÇÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	MARIO SCHENBERG (TEMÁTICA EM CIÊNCIAS - INAUG. 08-04-2008)	R CATÃO, 611	3672-0456	LAPA	05049-00	1	2	104	355030848000104	3550308005058	48	LAPA	8	LAPA	OESTE	OESTE	BIBLIOTECA	19661126		ATENDE ÀS NORMAS	NÃO
PARTICULAR	BIBLIOTECAS ESPECIALIZADAS	MEMORIAL'32 - CENTRO DE ESTUDOS JOSÉ BOURROUL	R BENJAMIM CONSTANT, 158 - 4 ANDAR	3104-5050	CENTRO		4	6	80	355030878000005	3550308005001	78	SE	9	SE	CENTRO	CENTRO	REVOLUÇÃO CONSTITUCIONALISTA DE 32 - HIST. DE SP				
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	MENOTTI DEL PICCHIA	R SÃO  ROMUALDO, 382	3966-4814	LIMAO	02557-06	1	2	97	355030850000006	3550308005060	50	LIMAO	4	CASA VERDE-CACHOEIRINHA	NORTE	NORTE 2	BIBLIOTECA	19920925		ATENDE ÀS NORMAS	SEM INFORMAÇÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	MILTON SANTOS	AV ARICANDUVA, 5.777	6726-4882	JARDIM ARICANDUVA	03527-00	1	2	37	355030824000082	3550308005152	24	CIDADE LIDER	27	ITAQUERA	LESTE	LESTE 2	BIBLIOTECA	20011121	132	ATENDE ÀS NORMAS	SIM
FEDERAL	BIBLIOTECAS ESPECIALIZADAS	MINISTÉRIO DA FAZENDA - DELEGACIA DO MINISTÉRIO NO ESTADO	AV PRESTES MAIA, 733 - 22 ANDAR	3315-2926	CENTRO		3	6	599	355030866000072	3550308005003	66	REPUBLICA	9	SE	CENTRO	CENTRO	ADM., ECONOMIA, DIREITO TRIBUTÁRIO				
ESTADUAL	BIBLIOTECAS ESPECIALIZADAS	MINISTÉRIO PUBLICO DO ESTADO DE SÃO PAULO	R DO RIACHUELO, 115	3119-9000/3111-2331	CENTRO		2	6	607	355030878000035	3550308005001	78	SE	9	SE	CENTRO	CENTRO	LEGISLAÇÃO / DIREITO				
MUNICIPAL	BIBLIOTECAS INFANTO-JUVENIS	MONTEIRO LOBATO (INCLUI ÔNIBUS BIBLIOTECA)	R GAL JARDIM, 485	3256-4122	V. BUARQUE	01223-01	1	1	1	355030826000098	3550308005012	26	CONSOLACAO	9	SE	CENTRO	CENTRO	BIBLIOTECA	19360414		ATENDE ÀS NORMAS	SIM
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	NARBAL FONTES	AV CONS. MOREIRA DE BARROS, 170	6973-4461	SANTANA	02018-01	1	2	74	355030870000015	3550308005063	70	SANTANA	5	SANTANA-TUCURUVI	NORTE	NORTE 1	BIBLIOTECA	19540327		ATENDE ÀS NORMAS	NÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	NUTO SANT'ANNA	PC TENÓRIO AGUIAR, 32	6973-0072	SANTANA	02044-08	1	2	69	355030870000042	3550308005064	70	SANTANA	5	SANTANA-TUCURUVI	NORTE	NORTE 1	BIBLIOTECA	19570207	25	ATENDE ÀS NORMAS	NÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	PADRE JOSÉ DE ANCHIETA	R ANTÔNIO MAIA, 651	3917-0751	PERUS	05204-11	1	2	132	355030861000010	3550308005243	61	PERUS	1	PERUS	NORTE	NORTE 2	BIBLIOTECA	19660903		ATENDE ÀS NORMAS	NÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	PATATIVA DO ASSARE - CEU CASA BRANCA	R JOÃO DAMASCENO, 85 - JDIM. CASA BLANCA	55195212	JARDIM CASA BLANCA		1	2	128	355030846000282	3550308005228	46	JARDIM SAO LUIS	18	M'BOI MIRIM	SUL	SUL 2	CEU	20040627		SEM INFORMAÇÃO	SEM INFORMAÇÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	PAULO DUARTE	R ARSÊNIO TAVOLIERI, 45	5011-7445	JABAQUARA	04321-03	1	2	91	355030838000025	3550308005095	38	JABAQUARA	15	JABAQUARA	SUL	SUL 1	TEMÁTICA DE ESTUDOS AFRO-BRASILEIRO	19800712	280	ATENDE ÀS NORMAS	NÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	PAULO SETÚBAL	AV RENATA, 163	6211-1507	VILA FORMOSA	03377-00	1	2	41	355030885000015	3550308005079	85	VILA FORMOSA	26	ARICANDUVA	LESTE	LESTE 1	BIBLIOTECA	19661007		ATENDE ÀS NORMAS	NÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	PEDRO DA SILVA NAVA	RUA HELENA DO SACRAMENTO, 1000	6973-7293	MANDAQUI	02413-10	1	2	77	355030851000070	3550308005129	51	MANDAQUI	5	SANTANA-TUCURUVI	NORTE	NORTE 1	BIBLIOTECA	19881217		ATENDE ÀS NORMAS	SIM
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	PONTO  DE LEITURA JUSCELINO KUBITSCHEK	R INÁCIO MONTEIRO, 55	2556-3036	CIDADE TIRADENTES	08470-000	1	2	10	355030825000001	3550308005269	25	CIDADE TIRADENTES	31	CIDADE TIRADENTES	LESTE	LESTE 2	BIBLIOTECA - EXTENSÃO	20060717		SEM INFORMAÇÃO	SEM INFORMAÇÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	PONTO DE LEITURA - CASA DE CULTURA DO BUTANTÃ	R JUNTA MIZUMOTO, 13	3742-6218	JARDIM PERI-PERI		1	2	124	355030812000104	3550308005180	12	BUTANTA	10	BUTANTA	OESTE	OESTE	BIBLIOTECA			SEM INFORMAÇÃO	SEM INFORMAÇÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	PONTO DE LEITURA ANDRÉ VITAL	AV DOS METAL·RGICOS, 2255	2282-2562	CIDADE TIRADENTES	08470-000	1	2	5	355030825000286	3550308005272	25	CIDADE TIRADENTES	31	CIDADE TIRADENTES	LESTE	LESTE 2	BIBLIOTECA- EXTENSÃO	20060717		SEM INFORMAÇÃO	SEM INFORMAÇÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	PONTO DE LEITURA GRACILIANO RAMOS	R  PROF. OSCAR BARRETO FILHO, 252	3496-9638	PARQUE AMÉRICA		1	2	102	355030830000284	3550308005283	30	GRAJAU	19	CAPELA DO SOCORRO	SUL	SUL 2	CALÇADÃO CULTURAL DO GRAJAÚ	20090621		SEM INFORMAÇÃO	SEM INFORMAÇÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	PONTO DE LEITURA OLIDO	AV SÃO  JOÃO, 473	3397-0176	CENTRO	01035-000	1	2	82	355030866000002	3550308005003	66	REPUBLICA	9	SE	CENTRO	CENTRO	BIBLIOTECA - EXTENSÃO	20080822		NÃO ATENDE ÀS NORMAS	NÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	PONTO DE LEITURA PARQUE DO PIQUERI	R TUIUTI, 515		TATUAPÉ		1	2	53	355030880000052	3550308005036	80	TATUAPE	25	MOOCA	LESTE	LESTE 1	BIBLIOTECA - EXTENSÃO			SEM INFORMAÇÃO	SEM INFORMAÇÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	PONTO DE LEITURA SÃO MATEUS ( INAUG. 16-12-10)	R FORTALEZA DE ITAPEMA, 268	2219-1718	JARDIM VERA CRUZ		1	2	29	355030875000079	3550308005212	75	SAO RAFAEL	30	SAO MATEUS	LESTE	LESTE 2	BIBLIOTECA - EXTENSÃO			SEM INFORMAÇÃO	SEM INFORMAÇÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	PONTO DE LEITURA SEVERINO DO RAMO	R BARÃO DE ALAGOAS, 340	2936-2742	ITAIM PAULISTA		1	2	4	355030836000105	3550308005249	36	ITAIM PAULISTA	24	ITAIM PAULISTA	LESTE	LESTE 2	BIBLIOTECA - EXTENSÃO	20110701	80	NÃO ATENDE ÀS NORMAS	SEM INFORMAÇÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	PONTO DE LEITURA TIDE SETUBAL	R MARIO DALARI, 170		JARDIM SÃO VICENTE	08021-580	1	2	19	355030874000099	3550308005197	74	SAO MIGUEL	23	SAO MIGUEL	LESTE	LESTE 2	BIBLIOTECA - EXTENSÃO			SEM INFORMAÇÃO	SEM INFORMAÇÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	PONTO DE LEITURA UNIÃO DOS MORADORES DO PARQUE ANHANGUERA	R AMADEO CAEGO MONTEIRO, 209	3911-3394/3911-3048	PARQUE ANHANGUERA	05271-000	1	2	148	355030803000017	3550308005241	3	ANHANGUERA	1	PERUS	NORTE	NORTE 2	BIBLIOTECA - EXTENSÃO	20080530		SEM INFORMAÇÃO	SEM INFORMAÇÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	PONTO DE LEITURA VILA MARA	R CONCEICÃO DO ALMEIDA, 170	2586-2526	JARDIM HELENA	08081-370	1	2	16	355030844000181	3550308005246	44	JARDIM HELENA	23	SAO MIGUEL	LESTE	LESTE 2	BIBLIOTECA - EXTENSÃO	20081016		SEM INFORMAÇÃO	SEM INFORMAÇÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	PRESTES MAIA	AV JOÃO DIAS, 822	5687-0513	SANTO AMARO	04724-00	1	2	111	355030871000035	3550308005174	71	SANTO AMARO	14	SANTO AMARO	SUL	SUL 2		19650404			
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	PROF. ARNALDO MAGALHÃES GIÁCOMO	R RESTINGA, 136	2295-0785	TATUAPÉ	03065-020	1	2	54	355030880000121	3550308005036	80	TATUAPE	25	MOOCA	LESTE	LESTE 1	BIBLIOTECA			ATENDE ÀS NORMAS	SIM
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	RAIMUNDO DE MENEZES	AV NORDESTINA, 780	6297-4053	SÃO MIGUEL PAULISTA	08010-09	1	2	21	355030874000094	3550308005196	74	SAO MIGUEL	23	SAO MIGUEL	LESTE	LESTE 2	BIBLIOTECA	19800712		ATENDE ÀS NORMAS	SEM INFORMAÇÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	RAQUEL DE QUEIROZ - CEU ALVARENGA	ESTRADA DO ALVARENGA, 3752  -  BALNEÁRIO S. FRANCISCO	5672.2540/	BALNEÁRIO S. FRANCISCO		1	2	90	355030858000062	3550308005213	58	PEDREIRA	16	CIDADE ADEMAR	SUL	SUL 2	CEU	20031209		SEM INFORMAÇÃO	SEM INFORMAÇÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	RAUL BOPP (TEMÁTICA EM MEIO AMBIENTE - INAUG. 30-4-2009)	R MUNIZ DE SOUZA, 1.155	3208-1895	ACLIMAÇÃO	01534-00	1	2	76	355030849000023	3550308005007	49	LIBERDADE	9	SE	CENTRO	CENTRO	BIBLIOTECA	19610221		ATENDE ÀS NORMAS	SEM INFORMAÇÃO
FEDERAL	BIBLIOTECAS ESPECIALIZADAS	REDE FERROVIÁRIA FEDERAL S/A (REFESA) - UNIDADE DE DOCUMENTAÇÃO - DIVISÃO PATRIMÔNIO E PRESERVAÇÃO	PC DA LUZ, 1 (ESTAÇÃO DA LUZ)	3226-4070	CENTRO		3	6	603	355030809000012	3550308005004	9	BOM RETIRO	9	SE	CENTRO	CENTRO	ENGENHARIA, TRANSPORTE FERROVIÁRIO				
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	RICARDO RAMOS	PC CENTENÁRIO DE VILA PRUDENTE, 25	2273-4860	VILA PRUDENTE	03132-05	1	2	55	355030893000064	3550308005042	93	VILA PRUDENTE	29	VILA PRUDENTE	LESTE	LESTE 1	BIBLIOTECA	19560907		ATENDE ÀS NORMAS	NÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	ROBERTO MARINHO - CEU BUTANTÃ	AV ENG. HEITOR ANTÔNIO EIRAS GARCIA, 1700 J.ESMERALDA	37324550	JARDIM ESMERALDA		1	2	129	355030867000108	3550308005183	67	RIO PEQUENO	10	BUTANTA	OESTE	OESTE	CEU	20030927		SEM INFORMAÇÃO	SEM INFORMAÇÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	ROBERTO SANTOS (TEMÁTICA EM CINEMA - INAUG. 14-6-2008)	R CISPLATINA, 505	2273-2390/2063-0901	IPIRANGA	04211-04	1	2	63	355030834000013	3550308005084	34	IPIRANGA	13	IPIRANGA	SUL	SUL 1	BIBLIOTECA	19650403		ATENDE ÀS NORMAS	NÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	RUBEM BRAGA - CEU CIDADE DUTRA	AV INTERLAGOS, 7.350 - JDIM. SÃO  NICOLAU	56681952	JARDIM SÃO NICOLAU		1	2	109	355030823000169	3550308005287	23	CIDADE DUTRA	19	CAPELA DO SOCORRO	SUL	SUL 2	CEU	20030830		SEM INFORMAÇÃO	SEM INFORMAÇÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	RUBENS BORBA MORAIS	R SAMPEI SATO, 440	6943-5255	ERMELINO MATARAZZO	03814-00	1	2	31	355030828000102	3550308005139	28	ERMELINO MATARAZZO	22	ERMELINO MATARAZZO	LESTE	LESTE 2	BIBLIOTECA	19900519	40	ATENDE ÀS NORMAS	NÃO
ESTADUAL	BIBLIOTECAS ESPECIALIZADAS	SEADE - FUNDAÇÃO SISTEMA ESTADUAL DE ANALISE DE DADOS - CENTRAL DE DADOS E REFERÛNCIA - BIBLIOTECA M	AV CASPER LÍBERO, 464 - TÉRREO	3313-5777	CENTRO		2	6	604	355030866000071	3550308005003	66	REPUBLICA	9	SE	CENTRO	CENTRO	ESTATÁSTICA, ECONOMIA /SÓCIO DEMOGRSSFICO				
MUNICIPAL	BIBLIOTECAS ESPECIALIZADAS	SEC. DE HAB. E DESENVOLVIMENTO URBANO DO MSP - ASS.  DE LEGISLACÒO TÚCNICA - SETOR DE DOCUMENTAÞÒO/ B	R SÃO BENTO, 405 - DÉCIMO ANDAR - SALA 101 B	3242 2622, R.166/164	CENTRO		1	6	602	355030878000006	3550308005001	78	SE	9	SE	CENTRO	CENTRO	DIREITO, LEGISLAÇÃO, ARQUITETURA, ENGENHARIA				
ESTADUAL	BIBLIOTECAS ESPECIALIZADAS	SEC.DA INDÚSTRIA, COMÉRCIO, CIÊNCIA E TECNOLOGIA DO EST.DE SÃO PAULO	AV RIO BRANCO, 1269	3331-0033	CENTRO		2	6	612	355030869000047	3550308005014	69	SANTA CECILIA	9	SE	CENTRO	CENTRO	CIÛNCIA , TECNOLOGIA  IND·STRIA, COMÉRCIO				
ESTADUAL	BIBLIOTECAS ESPECIALIZADAS	SECRETARIA DA FAZENDA DO ESTADO DE SÃO PAULO - CENTRO DE INFORMAÞ§ES TÚCNICAS - BIBLIOTECA - SEÞÒO	AV RANGEL PESTANA, 300 - 17 ANDAR - SALA 2010	3243-3806/3400	CENTRO		2	6	594	355030878000003	3550308005001	78	SE	9	SE	CENTRO	CENTRO	FINANÇAS, ECONOMIA, DIREITO				
ESTADUAL	BIBLIOTECAS ESPECIALIZADAS	SECRETARIA DA SEGURANCA PÚBLICA - DIVISÃO DE SERVIÇOS AUXILIARES - DENARC - SERVICO DE DOC. E BIBLI	R BRIG. TOBIAS, 527 - 8 ANDAR	3311-3280	CENTRO		2	6	601	355030866000072	3550308005003	66	REPUBLICA	9	SE	CENTRO	CENTRO	HEMEROTECA, MUSEU SOBRE DROGAS				
MUNICIPAL	BIBLIOTECAS ESPECIALIZADAS	SECRETARIA MUNICIPAL DE NEGÓCIOS JURÍDICOS	PATIO DO COLÉGIO, QUINTO E SEXTO ANDAR	3107-5151	CENTRO		1	6	595	355030878000001	3550308005001	78	SE	9	SE	CENTRO	CENTRO	DIREITO, ADM. PÚBLICA				
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	SERGIO BUARQUE DE HOLANDA	R VICTÓRIO SANTIM, 44	08290-000	ITAQUERA	08210-59	1	2	25	355030837000015	3550308005201	37	ITAQUERA	27	ITAQUERA	LESTE	LESTE 2		19810125			
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	SERGIO MILLIET (INCLUI A BIBL. ALFREDO VOLPI (MARÞO/1983 - DENOM. SET/1996) E DISCOTECA ONEYDA ALVAR	R VERGUEIRO, 1.000	3397-4002	PARAÍSO	01504-00	1	2	85	355030849000103	3550308005008	49	LIBERDADE	9	SE	CENTRO	CENTRO	BIBLIOTECA	1983/03		ATENDE ÀS NORMAS	NÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	SYLVIA ORTHOF	AV TUCURUVI, 808	6981-6264	TUCURUVI	02276-01	1	2	64	355030882000005	3550308005066	82	TUCURUVI	5	SANTANA-TUCURUVI	NORTE	NORTE 1	BIBLIOTECA	19810712		ATENDE ÀS NORMAS	SEM INFORMAÇÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	THALES CASTANHO DE ANDRADE	R ARTHUR FAJARDO, 447	3975-7439	FREGUESIA DO Ó	02963-00	1	2	105	355030829000012	3550308005116	29	FREGUESIA DO O	3	FREGUESIA-BRASILANDIA	NORTE	NORTE 2	BIBLIOTECA	19650416		ATENDE ÀS NORMAS	SEM INFORMAÇÃO
ESTADUAL	BIBLIOTECAS ESPECIALIZADAS	TRIBUNAL DE JUSTICA DO ESTADO DE SÃOPAULO	PC DA SÉ, 279 - 4 ANDAR	3242-9366	CENTRO		2	6	596	355030878000004	3550308005001	78	SE	9	SE	CENTRO	CENTRO	JURÍDICO				
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	VICENTE DE CARVALHO	R GUILHERME VALÛNCIA, 210	6521-0553	COHAB.II ITAQUERA	08253-28	1	2	22	355030847000037	3550308005263	47	JOSE BONIFACIO	27	ITAQUERA	LESTE	LESTE 2	BIBLIOTECA	19850510		ATENDE ÀS NORMAS	NÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	VICENTE PAULO GUIMARÃES	R JAGUAR, 225	6135-5322	VILA CURUÇÁ	08030-46	1	2	15	355030884000193	3550308005253	84	VILA CURUCA	24	ITAIM PAULISTA	LESTE	LESTE 2	BIBLIOTECA	19900221	40	ATENDE ÀS NORMAS	SIM
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	VINICIUS DE MORAIS	R JARDIM TAMOIO, 1.119 - ITAQUERA II	6521-6914	ITAQUERA	08255-01	1	2	20	355030847000033	3550308005262	47	JOSE BONIFACIO	27	ITAQUERA	LESTE	LESTE 2	BIBLIOTECA	19840510		ATENDE ÀS NORMAS	SEM INFORMAÇÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	VIRIATO CORREA (TEMÁTICA EM LITERATURA FANTÁSTICA - INAUG. 29-11-2008))	R SENA MADUREIRA, 298	5573-4017/5574-0389	V. MARIANA	04021-05	1	2	81	355030890000029	3550308005021	90	VILA MARIANA	12	VILA MARIANA	SUL	SUL 1	BIBLIOTECA	19520725		ATENDE ÀS NORMAS	NÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	WALLY SALOMÃO - CEU MENINOS	R BARBINOS, 112 - J. PATENTE	69452543	JARDIM PATENTE		1	2	56	355030868000250	3550308005086	68	SACOMA	13	IPIRANGA	SUL	SUL 1	CEU	20031028		SEM INFORMAÇÃO	SEM INFORMAÇÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	ZALINA ROLIM	R CORREDEIRA, 26	5573-2606	VILA MARIANA	04127-14	1	2	72	355030890000115	3550308005046	90	VILA MARIANA	12	VILA MARIANA	SUL	SUL 1	ESPAÇO DE LEITURA			SEM INFORMAÇÃO	SEM INFORMAÇÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	ZANONI FERRITE	AV RENATA, 163	2216-1520	V. FORMOSA	03377-00	1	2	42	355030885000015	3550308005079	85	VILA FORMOSA	26	ARICANDUVA	LESTE	LESTE 1	TEATRO	19711217	210	ATENDE ÀS NORMAS	SEM INFORMAÇÃO
